run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16839,2,2,1801.09,4535.617,8,2.93,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16859,2,3,1792.2,4526.727,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16861,2,3,1744.25,4478.777,8,3.68,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16926,2,2,1788.39,4522.917,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16948,2,4,1721.15,4455.677,8,68.59,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16978,2,1,1596.12,4330.647,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17057,2,2,1395.23,4129.757,8,3.99,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17158,2,3,1704.72,4439.247,8,2.45,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17159,2,2,1777.66,4512.187,8,0.91,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17176,2,3,1731.21,4465.737,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17275,2,4,2296.57,5031.097,9,125.48,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17338,2,3,1712.34,4446.867,8,2.45,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17339,2,3,1655.95,4390.477,8,4.22,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17358,2,3,1749.69,4484.217000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17367,2,4,1961.69,4696.217000000001,9,108.57,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17449,2,4,1481.12,4215.647,8,44.03,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17456,2,4,1530.88,4265.407,8,22.36,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17457,2,2,1489.35,4223.877,8,1.83,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17458,2,3,1645.29,4379.817,8,11.25,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17517,2,3,1686.94,4421.467000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17518,2,3,1594.03,4328.557,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17527,2,3,1476.85,4211.377,8,22.83,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17546,2,4,1556.02,4290.5470000000005,8,15.17,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17547,2,3,2309.56,5044.0869999999995,9,106.67,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17583,2,4,1525.82,4260.347,8,6.39,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17598,2,3,1724.16,4458.687,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17636,2,4,1585.6,4320.127,8,1.8,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17668,2,2,1540.7,4275.227,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,17680,2,4,1789.61,4524.137,8,85.81,moving
